rowid,Botanical_name,Common_name,Plant_type,Height,Width,Flower colour,Flowering Time,Pollinator,Information,Uses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,December,Climate,Rainfall,Aspect,Soil
39,Hardenbergia violacea,Happy wanderer,Herb,3m,0.2m,Purple,Spring,Bees Butterflies,"This attractive hardy native provides very useful cover on a trellis or a fence as a groundcover or even in a pot. It has oblong heart-shaped leaves from 4 to 15 cm long with prominent veins. Small and delicate, rich mauve–purple flowers appear from early spring. The lanceolate leaves are glossy dark green, with prominent veins to 10 cm. Plant should be cut back after flowering to prevent it becoming too woody and maintain its vigour. It is best to select from the same climatic region, to ensure the greatest vigour and best flowering. ",These are great plants for garden beds  banks and retaining walls  mass plantings  rock gardens  bush gardens and containers. They enhance biodiversity in farm planting. Being leguminous  they provide a soil nitrogen benefit. The boiled leaves produce a sweet tea.,No,No,No,No,yes,yes,yes,yes,yes,yes,No,No,Cool  temperate  warm/humid  hot/arid  frost hardy,500 mm  drought tolerant,Full sun to partial shade,Well-drained sandy loam to heavy clay  alkaline tolerant
40,Jacaranda mimosifolia,Jacaranda,Tree,10m,4m,Mauve,Spring,Bees,"Jacaranda mimosifolia A spectacular semi-deciduous to deciduous tree grown for its wonderful display of purple blue flowers in mid-spring to early summer. It has delicate, bright green, Mimosa like foliage with its large compound leaves made up of narrow leaflets. These begin to fall in late winter/early spring and most will have fallen before the flowers begin to open.",A widely planted street tree  considered one of the most beautiful trees in the world. It has a graceful  spreading crown and its feathery leaves provide softness. It is best known for its masses of blue–purple flowers—even the carpet of blue it makes on the ground. It is also a wonderful addition to a large garden  but give it enough room and do not use it to shade your pool. It is a hungry feeder  so is best not planted near flower beds.,yes,No,No,No,No,No,No,No,No,yes,yes,yes,Temperate  warm/humid  very frost tender when young,650 mm  drought tolerant,Full sun,Well-drained sandy loam. Intolerant of waterlogging and clay
41,Lavandula stoechas,Lavender,Shrub,1m,1.5m,Blue  Purple,Late Summer,Bees  Butterflies and other insects,Lavandula (common name lavender) is a genus of 47 known species of flowering plants in the mint family  Lamiaceae. Lavender is a cool-climate perennial herb famous for its perfume. French lavender  L. dentata  is advisable for the subtropics as it handles humidity. Flowers are densely clustered on spikes above the grey–green foliage. They should be pruned back after flowering. Propagation by division or cuttings.,A plant of many uses. It is characteristically aromatic and is used dried for potpourri and for the sock and ‘undies’ drawers. The essential oil is antiseptic. Lavender has many uses as a herbal remedy and the flowers are edible,yes,yes,No,No,No,No,No,No,No,No,No,yes,Cool,Drought tolerant once established,Full sun  does not tolerate shade,Dry sandy to gravelly well-drained. Responds well to application of dolomite  pH 6.4 - 8.3
42,Leptecophylla juniperina,Mountain pinkberry,Shrub,1.5m,2m,Red  White,Summer,Bees  Butterflies,Leptecophylla juniperina is a species of flowering plant in the family Ericaceae. The species is native to New Zealand and the Australian states of Tasmania and Victoria. The plant's fruit is edible  raw or cooked. Plants grow best in areas with moderate winters and cool moist summers.,This prickly shrub is a useful garden addition with its attractive pink berries. It can be grown as a dividing hedge but should be in partial shade and prefers to be an understorey plant. Could be used on farm as an understorey component to increase biodiversity.,No,No,No,yes,yes,yes,yes,yes,yes,yes,yes,No,Cool  temperate,600 mm,Partial shade,Well-drained sandy to heavier clay
43,Lobularia maritima,Alyssum,Herb,9m,12m,White,Spring  Summer,Bees,Lobularia maritima  commonly called sweet alyssum  is one of the easiest annuals to grow. It is a mat-forming plant that produces spreading mounds of well-branched stems clad with linear  lance-shaped  gray-green leaves (to 1” long). Plants typically grow 3-9” tall to 12” wide.,This repeated flowerer makes a great border  gap filler and groundcover.,yes,yes,yes,yes,yes,yes,yes,yes,No,No,No,No,Cool  temperate  hot/arid  warm/humid,400 mm,Full sun to partial shade,Light sandy loam  widely tolerant  pH 6.5-7.5
44,Macadamia integrifolia,Macadamia,Shrub,15m,12m,White,Winter  Spring,Bees  Butterflies,"Macadamia is an evergreen genus that grows 2–12 m (7–40 ft) tall. The leaves are arranged in whorls of three to six, lanceolate to obovate or elliptic in shape, 60–300 mm (2–10 in) long and 30–130 mm (1–5 in) broad, with an entire or spiny-serrated margin. The flowers are produced in a long, slender, simple raceme 50–300 mm (2–10 in) long, the individual flowers 10–15 mm (0.4–0.6 in) long, white to pink or purple, with four tepals. The fruit is a hard, woody, globose follicle with a pointed apex, containing one or two seeds.",Macadamia trees are a very attractive garden ornamental and a very productive nut producer. They are widely cultivated as a smallish domestic tree and  of great commercial importance  grown in plantations. Many consider the nut to be the perfect nut; unlike other nuts  it is higher in fats than in protein.,No,No,No,No,No,No,yes,yes,yes,yes,No,No,Warm/humid  frost intolerant,1000 mm,Full sun to part shade,Well-drained sandy to heavier clay. Best deep rich soils  pH 5.5-6.5  salt intolerant
45,Malus pumila,Apple,Tree,1.5m,5m,Cream Red,late summer or autumn,Bees,An apple is a sweet  edible fruit produced by an apple tree. Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia  where its wild ancestor  Malus sieversii  is still found today.,Apple trees  whether dwarf  potted on a balcony or a larger tree growing in a backyard  are a very useful addition to the urban pollen ‘bank’. The wood is brownish-yellow to orange  very dense and hard with interesting grain. Used for small turned objects such as mallet heads,No,No,No,No,No,No,No,No,yes,yes,No,No,Cool  temperate  hot/arid  cold nights,500 mm,Full sun  sheltered,Well-drained fertile soil
46,Melaleuca lanceolata,Dryland tea tree,Tree,8m,5m,White,Spring  Summer,Nectar eating birds and insects,"Melaleuca lanceolata commonly known as black paperbark, moonah, Rottnest Island teatree and western black tea tree is a plant in the myrtle family, Myrtaceae and is native to Australia where it occurs in Western Australia, South Australia, Victoria, New South Wales and Queensland. It is a densely foliaged tree with rough bark, which flowers prolifically in summer. The flowers are white or cream coloured and arranged in spikes on the ends of branches which continue to grow after flowering, sometimes also in the upper leaf axils.",This versatile tree has many uses—as an ornamental planting  a maintenance-free street tree and a hedging plant. On farm it provides excellent shelter and is a useful windbreak component or copse. It produces high-quality firewood and at ADD >750 kg/m3 is suited to small turning. ,yes,yes,yes,yes,yes,yes,yes,No,No,yes,yes,yes,Temperate  hot/arid,200 mm  very drought tolerant,Full sun,Various  sandy to heavier clay  tolerates occasional inundation  moderate salinity to 8 dSm-1  and alkaline  pH <6.5>7.5
47,Melaleuca linariifolia,Flax-leaf Paperbark,Shrub,2.5m,3m,White,Summer,Bees  Nectar eating birds  Butterflies  Other insects,A fast growing hardy shrub to around 2.5 metres high and wide  with a spectacular show of white flowers in late spring and summer. It has fine foliage and a papery furrowed grey trunk and a dense spreading habit. It is very tolerant of a wide range of conditions including not very well drained soils. Frost and drought tolerant.,A very attractive specimen tree  equally at home in the garden  as a street tree  in parks or as a component of a farm shelterbelt. It tolerates coastal exposure  frost  drought and tropical temperatures and is particularly useful for wetter clay sites.,No,No,No,No,No,No,No,No,No,yes,yes,yes,Temperate  warm/humid  frost hardy,500 mm. Drought tolerant,Full sun,Well-drained. Light sandy to heavier clay. Tolerates occasional inundation  salt-tolerant  pH <6 to 8
48,Melaleuca wilsonii,Wilson's honey-myrtle,Shrub,1.5m,2.5m,White,Spring/ Summer,Bees  Butterflies,"Melaleuca wilsonii  commonly known as Wilson's honey-myrtle or violet honey-myrtle  is a plant in the myrtle family  Myrtaceae  native to parts of South Australia and Victoria. It is a shrub with narrow  pointed leaves and heads of purplish-pink flowers on the sides of the branches. It is adaptable to a wide range of soils, frost hardy and often cultivated.",M. wilsonii can handle short-term waterlogging. Its dense foliage provides cover for native birds  and the species is ideal for bonsai. Larger members of the genus have been used in fencing and boat building,No,No,No,No,No,No,No,No,yes,yes,yes,No,Temperate  hot arid,Drought tolerant,Full sun to part shade,Sandy  gravelly to clay
49,Melia azedarach,White cedar,Tree,12m,8m,Pink,Spring,Birds,"White Cedar has the scientific name Melia azedarach L. and is also commonly known as Persian Lilac, Chinaberry and Umbrella Tree. The flowers are small with five pale purple and white petals. The flowers are often found growing in clusters. White Cedar is often planted as a shade tree because of its dense canopy. It is planted in parks, public gardens, stream banks and along footpaths or roadsides.",This is a wonderful shade tree in hot summer climates. It is widely planted as a park and street tree  providing excellent shade  often in car parks. The hard seeds are used in art and craft and to make beads. It should not be planted near playgrounds or schoolyards because of its poisonous fruit. It is not recommended for planting on farm,No,No,No,No,No,No,No,No,yes,yes,No,No,Temperate  warm/humid  hot/arid  frost tender when young  moderately frost hardy,300 mm  drought tolerant,Full sun,Well-drained various
50,Melissa officinalis,Lemon Balm,Herb,0.8m,0.8m,Amber,Summer,Bees,Lemon balm (Melissa officinalis)  balm  common balm  or balm mint  is a perennial herbaceous plant in the mint family Lamiaceae. A hardy easy-to-grow perennial with a distinctive lemony fragrance when the leaves are bruised. Vigorous clump forming self-seeder that can be contained in a pot. The leaves have a wild lemon fragrance similar to mint. The leaves are used as a herb  in teas  and also as a flavouring. The plant is used to attract bees for honey production.,Can be used as a low-traffic lawn substitute and as a border plant  releasing its fresh scent as it is brushed against. Most often used as lemon tea  as a lemon peel substitute and to flavour salads.,yes,yes,yes,yes,No,No,No,No,No,No,No,yes,Cool  temperate,Drought tolerant,Full sun to semi-shade,Any soil
51,Mentha piperita,Peppermint,Herb,0.6m,0.4m,Purple,Sep-Nov,Bees,"Mentha piperita or Peppermint is a hardy  spreading perennial herb with pungent  oval  serrated  mid green to reddish foliage.A well-known herb long used as a refreshing, cooling flavour. A low-growing plant that has small pointed, dark-green leaves with a coarsely toothed margin and a purplish tinge to 9 x 4 cm. The leaves and stems are slightly hairy and the stems are square in section. The tiny purple flowers are arranged around the stem, a verticillaster or thick, blunt spike. Mints spread by rhizomes and can become a problem in gardens. To prevent spreading in the domestic garden, sink a bottomless container 45 cm into the ground and 5 cm above or plant above ground in pots.",Mentha x piperita is the main species/hybrid used for the production of essential oil. It is a wonderful addition to any garden provided its growth is contained or it is grown above ground. Its strongly aromatic leaves and flowers can be used fresh or dried. It is used as a refreshing cold drink or infused as a tea and has a long tradition in herbal medicine,yes,yes,yes,No,No,No,No,No,No,No,No,yes,Cool  temperate  frost hardy,Garden watered,Full sun to part-shade,Wide tolerance  moist. pH 6.1 - 7.8
52,Mentha spicata,Spearmint,Herb,0.6m,0.5m,Blue  Purple  Pink  Red  White,Summer,Honey bees  Bumblebees  Solitary bees,"Mentha spicata or Spearmint is a hardy  fast growing  perennial herb with serrated  crinkled green foliage that is pungently fragrant and the most used mint in cooking. This hardy fast-growing perennial is rhizomatous and can be invasive. Its leaves grow to 9 x 3 cm and are a lighter green than those of peppermint. They are slightly crinkled, with a serrated margin and an acute tip. The many small white or pale pink flowers are arranged in slender spikes. The whole plant has a sweet smell.",This is perhaps the oldest known mint and is widely cultivated as a herb and for its essential oil. It is grown almost worldwide in domestic and urban gardens  where it should be potted or contained to prevent uncontrolled spreading. It is a useful groundcover. It is also grown as a crop on farms  where it often requires irrigation.,yes,yes,No,No,No,No,No,No,No,No,No,yes,Cool  temperate  warm/humid  hot/arid  frost hardy,Soil kept moist or irrigated in dry climates,Full sun to part shade (hotter regions),Well-drained sandy loam to clay  moist  pH 6.0-7.5
53,Myoporum parvifolium,Creeping boobialla,Herb,0.3m,3m,Pink,Spring  Autumn,Birds  Butterflies  and other insects,"Myoporum parvifolium is bushy, prostrate shrub with a carpet-like appearance and small, spoon-shaped, linear leaves. Star shaped flowers of pale mauve, pink or white are borne singly or in clusters along the stems and have a waxy appearance and delicate honey scent. A great Australian native ground-cover that can handle drought and salt and is also a great spillover. It's also fire retardant and is useful for bank stabilisation.", Suitable for pots  hanging baskets and rockeries. This very hardy species will grow in most conditions with little maintenance. A great garden addition used by councils for roadside and nature strip planting forming a naturally dense weed mat. A useful salt-tolerant coastal planting.,yes,yes,No,No,No,No,No,No,yes,yes,yes,yes,Cool  temperate  hot/arid frost tolerant,300 mm  Drought hardy,Full sun  tolerates wind coastal exposure.,Well-drained various  pH 6.6-7.8
54,Nepeta cataria,Catmint,Herb,0.3m,0.5m,Blue  Mauve,"Spring, Summer",Bees,"Catmint has upright branching stems with soft grey–green, hairy aromatic leaves and white (or pink or lavender) flowers in clusters along the ends of the stems in summer and autumn. Prune hard after flowering to maintain plant vigour.",An extremely attractive plant for bees and cats. Many cats are attracted by the smell of the chemical nepetalactone  which is released when the leaves are bruised. This is an inherited trait  so not all cats are affected. Often grown as groundcover and a hedging plant  catnip has also been used as a rat and mouse repellent. It is used in herbal medicine.,yes,yes,yes,yes,yes,No,No,No,No,No,No,yes,Cool  temperate,Garden watered  allow to dry slightly between watering,Full sun to partial shade,Any well-drained soil
55,Origanum vulgare,"Oregano, Wild Marjoram",Herb,0.5m,1m,Light pinkish,"Summer, Autumn",Bees,Oregano is a flowering plant in the mint family. It is native to temperate Western and Southwestern Eurasia and the Mediterranean region. Oregano is a perennial herb growing from 20–80 cm tall  with opposite leaves 1–4 cm long. The flowers are purple  3–4 mm long  produced in erect spikes.,This well-known culinary herb is a wild form of marjoram  with a stronger flavour and coarser texture. Its pungency increases with drying.,yes,yes,yes,No,No,No,No,No,No,No,yes,yes,Cool  temperate,500 mm,Sunny,Well-drained neutral to alkaline soil  pH 6.0-8.0
56,Passiflora edulis,Passionfruit,Shrub,1m,5m,Purple  White,Bees,Bees,A short-lived  rapid growing  evergreen vine which supports itself with tendrils. It has glossy  bright green  3-lobed leaves  intricate  purple/white flowers and tough-skinned  flavoursome  globular  green fruit which ripen to purple. NB Will only fruit when growing horizontally.,An excellent garden addition; will grow in all climate zones if protected from frost and extreme heat. They need a strong structure to grow on  bearing after 1–2 years and producing abundant excellent fruit.,No,yes,yes,yes,No,No,yes,yes,yes,yes,yes,No,Temperate  warm/humid  frost tender,600 mm with high humidity or 900 mm,Full sun,Well-drained  light to heavy sandy loams  pH 6.5-7.5
57,Pelargonium rodneyanum,Magenta storksbill,Herb,0.4m,1m,Pink,"Summer, Autumn",Bees  Butterflies,Pelargonium rodneyanum  commonly known as magenta storksbill  is a perennial herb species that is endemic to Australia. It grows to 40 cm high and has leaves with 5 to 7 shallow lobes. Dark pink flowers appear between October and February in the species native range,A useful spreading groundcover or can be potted  used as a bedding display plant or in rockeries,yes,yes,yes,yes,yes,No,No,No,No,No,yes,yes,Cool  temperate  hot/arid  frost hardy,Moderately drought tolerant,Full sun  part shade,Well-drained  various
58,Persea americana,Avocado,Tree,18m,18m,Greenish Yellow,Mar-May,Bees,This fruit-bearing tree has a dense  broad crown of large  glossy dark green leaves and an attractive silvery trunk. This is an evergreen tree that consistently sheds its leaves throughout the year  but still maintains a full canopy year round. The edible fruits  the Avocados  follow small inconspicuous green flowers,Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world. They make a great addition to the home garden; more compact and self-fertile varieties are available  but best fruit comes from cross-pollination. The fruit is well known as a highly nutritious and desirable food. It is green to dark-skinned and pear-shaped and ripens after harvesting.,No,No,No,No,No,No,No,No,yes,yes,yes,No,Temperate  warm/humid,600 mm (variety dependant),Full sun,Well-drained  pH 6.5-7
59,Prunus cerasifera,Cherry Plum,Tree,8m,4m,Pink  purple  white,"Spring, Summer, Fall",Bees,"Prunus cerasifera or the Black Cherry Plum is a classic, deciduous blossom tree that's distinctive because of its reddish/purple leaves and lovely pale shell pink blossoms. The leaves remain red/purple until late summer when they become blacker and more intense. Lovely fluffy blossoms are borne on short spurs on one and two year old branches.",P. cerasifera ‘Nigra’ purple-leafed form is a widely planted street tree and ornamental providing profuse spring flowering  an excellent foliage contrast and edible fruit. The purple-leaved varieties have purple fruit that makes an excellent dark-coloured jam. Suited to planting under power lines and on small sites,No,No,No,No,No,No,No,yes,yes,No,No,No,Cool  temperate  very frost hardy.,500 mm  moderately drought tolerant,Full sun,Well-drained  light sandy to heavier clay  pH <6 to >8. Prefers moist soil
60,Prunus lusitanica,Portugal laurel,Tree,5m,3m,White  Pink,Spring,Bees,"One of the best-known evergreen ornamentals, P. lusitanica is found in South Australia, Victoria and Tasmania. The bark is dark brown; the leathery, dark green, glossy leaves are up to 12 x 5 cm. The sweetly scented small white flowers have five petals and grow in upright spikes to 20 cm. Plant produces an inedible fruit that is a deep purple colour.",The main use for Portugal laurel is hedging or screening; it can handle frequent clipping and exposure to cold wind. It can also be left without being cut back to grow out as a flowering bushy tree. Often used in topiary and a dye is obtained from the leaves and fruit,No,No,No,No,No,No,No,No,No,yes,yes,yes,Cool  temperate,Drought tolerant,Full sun or part shade,Moist  well-drained soil  sandy loam to heavy clay  pH <6 to >8
61,Rosmarinus officinalis,Rosemary,Herb,0.5m,2m,Blue  Mauve,Winter,Bees  Butterflies,Rosmarinus officinalis  commonly known as rosemary  is a woody  perennial herb with fragrant  evergreen  needle-like leaves and white  pink  purple  or blue flowers  native to the Mediterranean region. It is a member of the mint family Lamiaceae  which includes many other herbs.,A pungent herb used in meat dishes  especially lamb. It makes a fragrant low hedge; prune back after flowering. It has been used since ancient times in herbal medicine and its oil is antibacterial.,No,No,No,No,No,yes,yes,yes,yes,yes,No,No,Cool  temperate  hot/arid  warm/humid,>200mm,Full sun,Well-drained poor alkaline soil. Add dolomite if acid.
62,Rubus idaeus,Raspberry,Shrub,1.5m,1.5m,White  Red,summer or early autumn,Bees,"Rubus ideaus or the common Raspberry is a deciduous perennial shrub with smooth, brown, cane-like stems that can be quite prickly. It has serrated leaves and bears 5 petalled small white flowers which mature into red, or sometimes yellow, berries that are exquisitely succulent. This is the best berry fruit you'll ever grow - especially when eaten with a light cream and some caster sugar.",A great garden addition in any cooler area  providing abundant fresh berries. Grown commercially on berry farms for fresh fruit  puree  juice and dried fruit.,yes,No,No,No,No,No,No,No,yes,yes,yes,yes,Cool  temperate,600 mm,Morning sun  afternoon shade  sheltered,Well-drained  rich  pH 5 to 7
63,Salvia verbenaca,Wild Sage,Herb,0.7m,1m,Blue  Mauve,Summer,Bees,"S. verbenaca is a tall perennial herb with hairy stems and branches that erectly sprawl out. Its leaves are basal and toothed that vary from 3 to 10 cm (1.2 to 3.9 in) long. It has soft purple to violet flowers in mid summer. It is in flower from June to September, and the seeds ripen from July to October. The flowers are bisexual and are pollinated by bees.",A traditional culinary herb that has also been used in herbal medicine. Can be grown successfully in containers,No,No,No,No,No,No,No,No,No,yes,yes,yes,Cool  temperate  hot/arid  warm/humid,Drought tolerant once established,Full sun,Very well drained light sandy soil
64,Scaevola aemula,Fairy-fan flower,Herb,0.4m,1m,Blue  Purple,Spring  Autumn,Attracts native butterflies and insects  caterpillar food plant,"Scaeveola aemula is a spreading, prostrate, Australian native shrub that forms a dense mat-like cover of deep green foliage. Lovely fan-shaped mauve-blue (occasionally white) flowers are produced throughout the year, however the main flush is usually from spring to summer. This is a very hardy groundcover that will also attract nectar feeding birds",This attractive long-flowering native plant is used as a groundcover and in hanging baskets. Its value has been widely demonstrated where a long-flowering  covering  hardy plant is needed. It is also an attractive addition to rockeries.,yes,yes,yes,yes,No,No,No,yes,yes,yes,yes,yes,Cool  temperate  warm/humid  hot/arid,200 mm,Full sun,Well-drained  various
65,Tristaniopsis laurina,Water gum,Tree,10m,5m,Cream  Yellow,Summer  Spring,Bees,Elegant evergreen tree from Queensland and NSW. Can tolerate a variety of urban locations and conditions. Can be used successfully under power lines. Can be grown as aliving fence or screen. Prefers moist well drained soils. Can be grown in large containers.,T. laurina can be planted in gardens  along streets and in parks and could provide a component of farm shelter. The heartwood is pinkish darkening to red  ADD is about 900 kg/m3; fine interlocked grain. Used for flooring  mallets and tool handles (Bootle 2001). ,yes,No,No,No,No,No,No,No,No,No,No,yes,Cool  temperate  warm/humid,750 mm,Prefers damp situations such as along streams,Moist  well-drained soils  shady loam to clay
66,Tropaeolum majus,Nasturtium,Shrub,0.1m,1m,White  Orange  Red  Pink,All Seasons,Bees  Butterflies  Other insects,The brightly coloured five-petalled  spurred flowers come in several forms and colours and are produced prolifically during late spring and summer  though they continue to produce lower volumes all year round. The plants may be trailing  non-trailing or climbers and the flowers may be single or double.,An attractive plant  spreading or potted depending on variety. Used to cover unused areas of the garden and fences and banks; dwarf varieties add cheerful colour to borders and beds. All parts of the plant are edible  containing a fragrant mustard oil; flowers make a colourful addition to salads  leaves provide tang. The immature buds can be used as a caper substitute; mature seeds can be roasted and eaten or used like pepper.,yes,yes,yes,No,No,No,No,No,yes,yes,yes,yes,Cool  temperate  warm/humid  hot arid,Moderately drought tolerant,Full sun to part shade,Well-drained  less fertile best (more flowers)
